id,title,rating,reviews,initial_price,final_price,stock,favorite,seller_name,breadcrumb,seller_rating,seller_products,seller_chats_responded_percentage,seller_chat_time_reply,seller_joined_date,seller_followers,sold,brand,gmv_cal,shipped_from,heel_height,material,toe_type,wide_fit,country_of_origin,shoe_model,fastener_type,occasion,variations_count,voucher_status,image_count,video_count,discount
15675125875,"sandal flat wanita jepit ANDO NICE murah R blue , maron , tosca 36 - 40",5.0,1,45900.0,2000.0,2,13.418059905388446,niagawan jaya,"[""Shopee"",""Women Shoes"",""Flat Sandals & Flip Flops"",""Flat Sandals""]",4.92,30,55.69371899618465,1.0,29 bulan lalu,0.0,4,Unknown,137700.0,Java,Flat,Rubber/EVA/Phylon,Other,No,Indonesia,Other,Snap / Clip,Other,0,0,11,1,11475.0
14794845271,GN-229 Sandal Jepit Jelly Terbaru Wanita Model Pita Import Yesplus PCU,4.84,572,80000.0,120123.67359803036,0,339.64172004156103,Gudang No.5,"[""Shopee"",""Women Shoes"",""Flat Sandals & Flip Flops"",""Flip Flops""]",4.78,220,97.61320741279188,1.0,13 bulan lalu,262537.7072365818,1400,Unknown,55720000.0,Unknown,Other,Other,Other,No,Other,Other,Other,Other,7,0,8,0,40200.0
5347827712,Sandal Pria Carvil Anti Air Sendal Jepit Cowok Pria Semi Gunung Hiking Outdoor Dewasa Senju,4.69,29,55900.0,94815.91752760392,39,0.0,gudang sepatu bekasi,"[""Shopee"",""Men Shoes"",""Sandals & Flip Flops"",""Sandals""]",4.89,107,92.58704442789217,1.0,4 tahun lalu,8708.793925091682,51,Unknown,2799900.0,Jabodetabek,Other,Other,Other,No,Other,Slides,Other,Other,13,0,8,0,1000.0
14650884694,Sandal Jepit Jelly Import FREYA Glossy / Sandal Wanita Jelly Import Glossy,4.5,4,57500.0,2000.0,192,67.85752420887073,HOME_inn,"[""Shopee"",""Women Shoes"",""Flat Sandals & Flip Flops"",""Flip Flops""]",4.55,471,98.3815682565284,1.0,6 tahun lalu,193007.108783982,7,Unknown,227500.0,Unknown,Low,Jelly,Other,No,China,Other,Strap,Other,10,0,8,0,25000.0
20891529744,Sandal Selop Wanita Karet Import BALANCE Motif Ban 2 Garis Ringan Empuk Sol Tebal 5 Cm  / 2212-37,4.8,5,90000.0,2000.0,29,0.0,smib.import,"[""Shopee"",""Women Shoes"",""Wedges""]",4.78,304,98.0409353992005,1.0,28 bulan lalu,228671.72002469387,8,Unknown,312000.0,Jabodetabek,Medium,Rubber/EVA/Phylon,Open Toe,No,China,Slides,Slip-On,Casual,7,0,4,0,51000.0
15397275417,Limitless - Sandal Slop Pria Dewasa TRON Premium Sendal Slide Cowok Casual Terbaru - Size 39-44,4.9,20,199750.0,154083.9105277499,1001,16.353551826839507,Limitless Official Shop,"[""Shopee"",""Men Shoes"",""Sandals & Flip Flops"",""Sandals""]",4.81,261,99.7268786153923,1.0,6 tahun lalu,343058.09459872404,33,Unknown,2636700.0,Java,Other,Synthetic,Other,No,Indonesia,Slides,Slip-On,Other,7,0,10,1,119850.0
9647704881,Sandal jepit sun swallow full black Unisex 9 - 12/sendal swallow,4.75,16,12000.0,2000.0,0,102.26339617070028,Aneka Alat Rumah Tangga,"[""Shopee"",""Men Shoes"",""Sandals & Flip Flops"",""Flip Flops""]",4.78,185,94.88287175798816,1.0,32 bulan lalu,0.0,51,Unknown,433500.0,Unknown,Other,Other,Other,No,Other,Other,Other,Other,24,0,5,0,3500.0
21091513778,Sepatu Sandal Wanita Fuji Yoona Classic Korean Style Rubber Sendal Wedges Cewek Platform Sandal Wanita Casual Sol Tinggi Terbaru,5.0,4,247500.0,199922.32073622016,5522,0.0,Rayyanza.Store,"[""Shopee"",""Women Shoes"",""Flat Sandals & Flip Flops"",""Indoor Slippers""]",4.8,151,98.31009078785458,1.0,16 bulan lalu,0.0,12,Unknown,1188000.0,Java,Medium,Synthetic,Other,No,Indonesia,Other,Slip-On,Other,10,0,8,0,148500.0
18392167596,Sandal Wanita Wedges Platform Gladiator Import Premium HYS 22-1,4.75,4,200000.0,198021.18915686704,29,0.0,BeemineShop (Import Sandal),"[""Shopee"",""Women Shoes"",""Wedges""]",4.81,585,81.42166207662375,1.0,7 tahun lalu,260587.4670839276,7,Unknown,693000.0,Unknown,Other,Other,Other,No,Other,Gladiator,Other,Other,7,0,4,0,101000.0
17385778844,"Legian, Sandal Swallow Sporty Series Full Color, Pria Wanita Remaja",4.8,134,12500.0,2000.0,114,0.0,Lintang Sabil,"[""Shopee"",""Men Shoes"",""Sandals & Flip Flops"",""Flip Flops""]",4.82,60,56.839809938020906,1.0,6 tahun lalu,0.0,345,Unknown,4298700.0,Java,Other,Rubber/EVA/Phylon,Other,Yes,Indonesia,Other,Other,Other,8,0,8,0,40.0
