id,title,rating,reviews,initial_price,final_price,stock,favorite,seller_name,seller_rating,seller_products,seller_chats_responded_percentage,seller_chat_time_reply,seller_joined_date,seller_followers,sold,brand,gmv_cal,country_of_origin,warranty_duration,warranty_type,material,shipped_from,Diameter,variations_count,voucher_status,image_count,video_count,discount,pan_type,rating_credibility,discount_percentage,log_reviews,log_final_price,log_initial_price,log_stock,log_favorite,log_sold,log_gmv_cal,log_seller_followers,log_seller_products,log_discount,z_sold,z_rating_credibility
19180553792,PANCI SET GSF/PANCI SET WARNA,4.75,4,108500.0,108500.0,42,5,Pusat Grosir Semarang Asli,4.83,274,72,1.77,2.817248459958932,13560,5,GSF,0.0,Unknown,No Warranty,No Warranty,Other,Java,Unknown,0,0,1,0,0.0,Other Cookware,0.18989873147802697,0.0,1.6094379124341003,11.59451466851004,11.59451466851004,3.7612001156935624,1.791759469228055,1.791759469228055,0.0,9.514953305087944,5.616771097666572,0.0,-0.18999192929763825,-0.36973677662699406
27876913950,GHL - Granitica Cookware Set Premium Panci Set Teflon Multifungsi Desain Modern Teflon Anti Lengket,0.0,53,904464.0,904464.0,0,0,Golden Home Living,4.79,54,100,0.1,2.4531143052703626,800,63,WH WORLD HOME,0.0,Indonesia,No Warranty,No Warranty,Other,Jabodetabek,Unknown,2,1,8,0,0.0,Frying Pan / Wok,0.0,0.0,3.9889840465642745,13.71509888765697,13.71509888765697,0.0,0.0,4.1588830833596715,0.0,6.68586094706836,4.007333185232471,0.0,-0.1629692724211808,-0.49420862640449975
22426021102,"CAROTE Granit Putih Set 11pcs - Anti Lengket Pegangan Dapat Dilepas Pasang, Bebas PFOA Panci Anti Lengket Wajan Untuk Semua Kompor, Original Carote",4.8,540,1100000.0,899000.0,0,0,Fankinanda.store,4.92,68,85,1.14,8.303901437371664,778,595,Carote,0.0,Unknown,No Warranty,No Warranty,Ceramic / Stoneware,Jabodetabek,Unknown,1,0,7,0,201000.0,Frying Pan / Wok,0.0,18.272727272727273,6.293419278846481,13.70903942580019,13.910821646859095,0.0,0.0,6.39024066706535,0.0,6.658011045870748,4.23410650459726,12.211065162153215,0.08489371823873894,-0.49420862640449975
836828817,Panci Maspion Saucepan 16 cm + Glass Cover,4.89,144,133800.0,66900.0,32,347,Pamosroom Official Store,4.8,867,99,1.0,7.0,186200,234,Unknown,15654600.0,Unknown,No Warranty,No Warranty,Other,Jabodetabek,Unknown,2,0,8,0,66900.0,Sauce Pan / Milk Pan,4.370181886026937,50.0,4.976733742420574,11.110969193687714,11.80410890048989,3.4965075614664802,5.8522024797744745,5.459585514144159,16.566275425353005,12.134582014379962,6.7661917146603505,11.110969193687714,-0.08329902542334947,2.370289830136603
12741665973,Panci teflon Marble 14cm Panci susu Sauce Pot Mini Anti Lengket,4.82,2721,54500.0,54500.0,348,5917,MGM Online,4.8,2056,76,3.42,8.202600958247775,48802,3252,Unknown,0.0,Unknown,No Warranty,No Warranty,Other,Jabodetabek,Unknown,0,0,4,0,0.0,Frying Pan / Wok,4.82,0.0,7.909122183211411,10.905974329106854,10.905974329106854,5.855071922202427,8.685753832960154,8.087332926473351,0.0,10.79554706536154,7.6290038896529575,0.0,1.3228109479067967,2.66512957063342
23377466953,"Maxim Panci kukusan 20 cm , 24 cm jawa ekonomi",5.0,2,60000.0,41000.0,44,4,tokopusatperabot.semarang,4.93,409,96,1.0,2.6666666666666665,5900,3,Unknown,123000.0,Unknown,No Warranty,No Warranty,Other,Java,Unknown,2,0,7,0,19000.0,Stock Pot / Soup Pot,0.09998666879965465,31.666666666666664,1.0986122886681098,10.62135173563291,11.002116507732017,3.8066624897703196,1.6094379124341003,1.3862943611198906,11.719947764402807,8.682877107057168,6.016157159698354,9.852246888342531,-0.19092374505199883,-0.42867092890795855
20179963781,TJ-587 Panci set Boutique Panci set 3 in 1 Anti Lengket,4.32,221,66800.0,66800.0,886,173,zadzetshop,4.5,596,81,2.33,9.229295003422314,21747,262,Unknown,0.0,Lainnya,No Warranty,No Warranty,Other,Jabodetabek,Unknown,0,0,4,0,0.0,Other Cookware,4.217260622592497,0.0,5.402677381872279,11.109473329472568,11.109473329472568,6.787844982309579,5.159055299214529,5.572154032177765,0.0,9.98727707826581,6.391917113392602,0.0,-0.07025360486230106,2.270055392645374
24626021690,MTE Panci Listrik Serbaguna 1.2L Anti Lengket/ Panci Listrik Low Watt / Penanak Nasi Mini Portable 450W,4.7,335,110000.0,55000.0,0,0,MTE.id,4.7,326,97,2.72,6.954140999315538,615256,393,Unknown,0.0,Unknown,No Warranty,No Warranty,Other,Jabodetabek,Unknown,3,1,7,0,55000.0,Other Cookware,0.0,50.0,5.817111159963204,10.915106645867503,11.608244735642321,0.0,0.0,5.976350909297934,0.0,13.329795345677406,5.7899601708972535,10.915106645867503,-0.009219672951681725,-0.49420862640449975
26656687573,Panci Multifungsi 4 in 1 Multi Deep Fryer Set Panci Penggorengan Rebus Stainless Steel Saringan Capitan Klip Makanan Panci Penggorengan Kentang Saringan Minyak,5.0,5,189000.0,99000.0,0,0,fpx6ypm9nm,4.83,46,85,3.49,1.938398357289528,143,6,Unknown,0.0,Unknown,No Warranty,No Warranty,Other,Jabodetabek,Unknown,3,0,7,0,90000.0,Frying Pan / Wok,0.0,47.61904761904761,1.791759469228055,11.502885230075814,12.149507585033072,0.0,0.0,1.9459101490553132,0.0,4.969813299576001,3.8501476017100584,11.407576060361786,-0.18952602142045794,-0.49420862640449975
9327739569,Dejavu Rak Dapur Susun Serbaguna Rak Kamar Mandi Tempat Panci Rak Roda Penyimpanan Alat Dapur HRK103,4.77,686,99000.0,47500.0,774,53,Dejavu Official Shop,4.77,770,100,0.5,3.0,969900,1400,Unknown,66500000.0,Unknown,No Warranty,No Warranty,Other,Jabodetabek,Unknown,5,0,10,1,51500.0,Other Cookware,4.769989503908569,52.02020202020202,6.532334292222349,10.768506042432708,11.502885230075814,6.652863029353347,3.9889840465642745,7.244941546337007,18.012712520663676,13.78494928341523,6.647688373563329,10.849356503939038,0.4599495593688807,2.6323494730080106
29463166797,Panci Set Rivera 13 pcs Cookware Set (BMW) / Panci Cooking Set / Panci Set Serbaguna / Cookware set Anti Lengket / Teflon set,0.0,53,134899.0,134899.0,0,0,PasarMurahku_smg,4.7,398,78,5.67,1.8781656399726216,165,66,BMW,0.0,Indonesia,No Warranty,No Warranty,Other,Java,Unknown,2,1,4,0,0.0,Frying Pan / Wok,0.0,0.0,3.9889840465642745,11.812289042195847,11.812289042195847,0.0,0.0,4.204692619390966,0.0,5.111987788356544,5.988961416889864,0.0,-0.16157154878963992,-0.49420862640449975
7679856844,Deep Wok 24cm Valentino Panci Wajan Penggorengan 24 cm Teflon,4.88,8,125000.0,125000.0,8,16,Toko Alat Dapur SBY,4.87,1970,98,1.72,7.219712525667351,27054,9,Unknown,0.0,Unknown,No Warranty,No Warranty,Other,Java,Unknown,0,0,5,0,0.0,Frying Pan / Wok,0.38956927326232105,0.0,2.1972245773362196,11.736077016252437,11.736077016252437,2.1972245773362196,2.833213344056216,2.302585092994046,0.0,10.205627110076836,7.58629630715272,0.0,-0.18812829778891704,-0.2388598534978703
15637301148,"Panci YONG MA 2,5 Liter, SM4033",4.93,15,330000.0,323400.0,2,14,ferdinandtoko,4.82,400,92,1.0,4.0,2700,27,Unknown,8731800.0,Unknown,No Warranty,No Warranty,Other,Jabodetabek,Unknown,0,0,5,0,6600.0,Other Cookware,0.7340032157629575,2.0,2.772588722239781,12.686648318266313,12.706850963741102,1.0986122886681098,2.70805020110221,3.332204510175204,15.98248220665339,7.901377353792616,5.993961427306569,8.79497643168877,-0.17974195599967163,-0.01309568111226387
